allergen_id,profile_id
4,30
60,30
5,30
56,30
7,30
50,30
51,30
52,30
53,30
15,30
1,31
63,31
2,35
23,35
24,35
25,35
26,35
27,35
28,35
7,35
50,35
51,35
52,35
53,35
13,35
58,35
2,36
23,36
24,36
25,36
26,36
27,36
28,36
4,37
60,37
5,37
56,37
7,37
50,37
51,37
52,37
53,37
15,37
4,39
60,39
5,39
56,39
7,39
50,39
51,39
52,39
53,39
15,39
26,44
4,44
60,44
50,44
51,44
52,44
11,44
44,44
12,44
68,44
2,46
23,46
24,46
25,46
26,46
27,46
28,46
22,52
26,53
27,53
28,53
26,54
27,54
28,54
7,58
50,58
51,58
52,58
53,58
10,59
34,59
35,59
36,59
92,59
37,59
38,59
39,59
93,59
40,59
41,59
42,59
11,59
44,59
1,60
63,60
5,57
56,57
4,62
60,62
13,64
58,64
2,65
23,65
24,65
25,65
26,65
27,65
28,65
12,66
68,66
2,68
23,68
24,68
25,68
26,68
27,68
28,68
7,68
50,68
51,68
52,68
53,68
13,68
58,68
11,83
44,83
2,84
23,84
24,84
25,84
26,84
27,84
28,84
15,85
4,90
60,90
125,95
130,95
127,95
131,95
128,95
2,97
23,97
24,97
25,97
26,97
27,97
28,97
13,100
58,100
4,96
60,96
7,96
50,96
51,96
52,96
53,96
2,101
23,101
24,101
25,101
26,101
27,101
28,101
125,102
130,102
127,102
131,102
128,102
132,102
10,38
34,38
35,38
36,38
92,38
37,38
38,38
39,38
93,38
40,38
41,38
42,38
5,112
56,112
22,111
15,118
4,124
60,124
12,127
68,127
11,128
44,128
14,146
48,146
2,152
23,152
27,152
28,152
24,152
25,152
26,152
12,152
68,152
13,152
58,152
10,152
34,152
35,152
36,152
92,152
37,152
38,152
42,152
39,152
93,152
40,152
41,152
4,153
60,153
125,154
130,154
131,154
128,154
132,154
127,154
10,154
34,154
35,154
36,154
92,154
37,154
38,154
42,154
39,154
93,154
40,154
41,154
4,160
60,160
6,160
66,160
13,160
58,160
22,163
11,162
44,162
12,162
68,162
1,166
63,166
5,167
56,167
2,168
23,168
24,168
25,168
26,168
27,168
28,168
6,169
66,169
7,170
50,170
134,170
51,170
52,170
53,170
9,171
70,171
11,172
44,172
10,173
34,173
35,173
36,173
92,173
37,173
38,173
39,173
93,173
40,173
41,173
42,173
125,174
127,174
128,174
130,174
131,174
132,174
13,175
58,175
14,176
48,176
22,177
5,179
56,179
7,179
50,179
134,179
51,179
52,179
53,179
125,179
127,179
128,179
130,179
131,179
132,179
2,180
23,180
24,180
25,180
26,180
28,180
14,181
4,188
60,188
5,188
56,188
7,188
50,188
134,188
51,188
52,188
53,188
9,191
70,191
125,191
127,191
128,191
130,191
131,191
132,191
2,192
23,192
24,192
25,192
26,192
27,192
28,192
14,192
48,192
22,192
5,194
56,194
125,194
127,194
128,194
130,194
131,194
132,194
4,195
5,195
7,195
50,195
134,195
51,195
52,195
125,195
127,195
128,195
130,195
131,195
60,195
56,195
53,195
132,195
7,207
50,207
134,207
51,207
52,207
4,209
5,209
7,209
50,209
134,209
51,209
52,209
22,209
1,210
63,210
5,210
56,210
7,210
50,210
134,210
51,210
52,210
53,210
125,210
127,210
128,210
130,210
131,210
132,210
4,211
60,211
5,211
56,211
7,211
50,211
134,211
51,211
52,211
53,211
125,211
127,211
128,211
130,211
131,211
132,211
11,212
44,212
22,212
7,218
50,218
134,218
51,218
52,218
7,225
50,225
134,225
51,225
52,225
53,225
4,226
60,226
5,226
56,226
7,226
50,226
134,226
51,226
52,226
53,226
125,226
127,226
128,226
130,226
131,226
132,226
22,227
2,229
23,229
24,229
25,229
26,229
27,229
28,229
7,232
50,232
134,232
51,232
52,232
53,232
11,232
44,232
10,232
34,232
35,232
36,232
92,232
37,232
38,232
39,232
93,232
40,232
41,232
42,232
7,234
50,234
134,234
51,234
52,234
13,234
11,235
44,235
10,235
34,235
35,235
36,235
92,235
37,235
38,235
39,235
93,235
40,235
41,235
42,235
22,236
7,237
50,237
134,237
51,237
52,237
22,237
7,238
50,238
134,238
51,238
52,238
53,238
22,239
2,240
23,240
24,240
25,240
26,240
27,240
28,240
22,214
7,241
50,241
134,241
51,241
52,241
53,241
22,241
7,244
50,244
134,244
51,244
52,244
2,247
23,247
24,247
25,247
26,247
27,247
28,247
11,250
44,250
22,250
7,251
50,251
134,251
51,251
52,251
53,251
13,251
58,251
1,252
63,252
11,252
44,252
12,252
68,252
41,252
2,253
23,253
24,253
25,253
26,253
27,253
28,253
7,253
50,253
134,253
51,253
52,253
53,253
13,253
58,253
22,253
2,254
23,254
24,254
25,254
26,254
27,254
28,254
4,255
60,255
7,255
50,255
134,255
51,255
52,255
53,255
11,255
44,255
10,255
34,255
35,255
36,255
92,255
37,255
38,255
39,255
93,255
40,255
41,255
42,255
5,257
56,257
2,257
23,257
24,257
25,257
26,257
27,257
28,257
7,257
50,257
134,257
51,257
52,257
53,257
125,257
127,257
128,257
130,257
131,257
132,257
13,257
58,257
2,258
23,258
24,258
25,258
26,258
27,258
28,258
2,259
23,259
24,259
25,259
26,259
27,259
28,259
125,260
127,260
128,260
130,260
131,260
132,260
7,264
134,264
2,267
23,267
25,267
26,267
27,267
28,267
7,267
50,267
134,267
51,267
52,267
53,267
23,268
25,268
26,268
23,269
25,269
26,269
7,270
50,270
134,270
51,270
52,270
53,270
13,270
58,270
22,272
22,273
2,275
23,275
25,275
26,275
27,275
28,275
7,276
50,276
134,276
51,276
52,276
53,276
22,277
125,279
127,279
128,279
130,279
131,279
132,279
13,280
58,280
11,283
44,283
10,283
34,283
35,283
36,283
92,283
37,283
38,283
39,283
93,283
40,283
41,283
42,283
1,285
63,285
2,286
23,286
24,286
25,286
26,286
27,286
28,286
7,287
50,287
134,287
51,287
52,287
5,288
56,288
2,291
23,291
24,291
25,291
26,291
27,291
28,291
7,291
50,291
134,291
51,291
52,291
53,291
2,293
23,293
24,293
25,293
26,293
27,293
28,293
125,293
127,293
128,293
130,293
131,293
132,293
22,293
2,294
23,294
24,294
25,294
26,294
27,294
28,294
22,295
134,296
53,296
2,297
23,297
24,297
25,297
26,297
27,297
28,297
2,298
24,298
26,298
28,298
125,298
127,298
128,298
132,298
22,298
2,299
25,299
26,299
28,299
11,299
44,299
12,299
68,299
127,299
128,299
130,299
131,299
10,299
34,299
35,299
36,299
92,299
37,299
38,299
39,299
93,299
40,299
41,299
42,299
4,300
60,300
5,300
56,300
11,300
44,300
125,300
127,300
128,300
130,300
131,300
132,300
2,301
23,301
24,301
25,301
26,301
27,301
28,301
2,302
23,302
24,302
25,302
26,302
27,302
28,302
6,304
4,306
60,306
7,306
50,306
134,306
51,306
53,306
2,311
23,311
24,311
25,311
26,311
27,311
28,311
6,313
66,313
2,314
23,314
24,314
25,314
26,314
27,314
28,314
2,316
23,316
24,316
25,316
26,316
27,316
28,316
14,316
48,316
134,317
2,319
23,319
24,319
25,319
26,319
27,319
28,319
2,320
23,320
24,320
25,320
26,320
27,320
28,320
7,320
50,320
134,320
51,320
52,320
53,320
4,321
60,321
2,321
23,321
24,321
25,321
26,321
27,321
28,321
6,321
66,321
7,321
50,321
134,321
51,321
52,321
53,321
9,321
70,321
11,321
44,321
12,321
68,321
13,321
58,321
10,321
34,321
35,321
36,321
92,321
37,321
38,321
39,321
93,321
40,321
41,321
42,321
7,322
50,322
134,322
51,322
52,322
4,323
11,323
2,324
23,324
24,324
25,324
26,324
27,324
28,324
4,326
60,326
5,326
56,326
11,326
44,326
12,326
68,326
125,326
127,326
128,326
130,326
131,326
132,326
10,326
34,326
35,326
36,326
92,326
37,326
38,326
39,326
93,326
40,326
41,326
42,326
7,327
50,327
134,327
51,327
52,327
53,327
7,329
50,329
134,329
51,329
52,329
53,329
22,329
22,330
2,333
23,333
24,333
25,333
26,333
27,333
28,333
2,334
23,334
24,334
25,334
26,334
27,334
28,334
2,335
23,335
24,335
25,335
26,335
27,335
28,335
2,336
23,336
24,336
25,336
26,336
27,336
28,336
7,336
50,336
134,336
51,336
52,336
53,336
4,337
2,337
23,337
25,337
26,337
7,337
50,337
134,337
51,337
52,337
22,338
2,339
23,339
24,339
25,339
26,339
27,339
28,339
11,341
44,341
10,341
34,341
35,341
36,341
92,341
37,341
38,341
39,341
93,341
40,341
41,341
22,342
4,343
60,343
2,343
23,343
25,343
26,343
27,343
28,343
11,343
44,343
10,343
34,343
35,343
36,343
92,343
37,343
38,343
39,343
93,343
40,343
41,343
42,343
4,348
60,348
5,348
56,348
7,348
50,348
134,348
51,348
52,348
53,348
125,348
127,348
128,348
130,348
131,348
132,348
2,350
24,350
26,350
27,350
28,350
7,350
50,350
134,350
53,350
2,352
23,352
24,352
25,352
26,352
7,352
50,352
134,352
51,352
52,352
11,352
2,353
23,353
25,353
26,353
27,353
28,353
11,353
44,353
4,361
60,361
6,363
66,363
22,366
14,367
48,367
22,367
14,368
48,368
22,368
4,370
60,370
5,370
56,370
11,370
44,370
125,370
127,370
128,370
130,370
131,370
132,370
13,370
58,370
10,370
34,370
35,370
36,370
92,370
37,370
38,370
39,370
93,370
40,370
41,370
42,370
4,371
60,371
5,371
56,371
11,371
44,371
125,371
127,371
128,371
130,371
131,371
132,371
10,371
34,371
35,371
36,371
92,371
37,371
38,371
39,371
93,371
40,371
41,371
42,371
7,374
50,374
134,374
51,374
52,374
53,374
22,375
2,376
23,376
25,376
26,376
27,376
28,376
7,376
50,376
134,376
51,376
52,376
53,376
44,376
13,376
58,376
40,376
22,377
